10001;10005;0;0;1
10002;10005;0;1;1
10003;10005;0;2;1
10004;10005;0;3;1
10005;10005;0;4;1
10006;10005;0;5;1
10007;10005;0;6;1
10008;10005;1;0;1
10009;10005;1;1;1
10010;10005;1;2;1
10011;10005;1;3;1
10012;10005;1;4;1
10013;10005;1;5;1
10014;10005;1;6;1
10015;10005;2;0;1
10016;10005;2;1;1
10017;10005;2;2;1
10018;10005;2;3;1
10019;10005;2;4;1
10020;10005;2;5;1
10021;10005;2;6;1
10022;10007;0;0;1
10023;10007;0;1;1
10024;10007;0;2;1
10025;10007;0;3;1
10026;10007;0;4;1
10027;10007;0;5;1
10028;10007;1;0;1
10029;10007;1;1;1
10030;10007;1;2;1
10031;10007;1;3;1
10032;10007;1;4;1
10033;10007;1;5;1
10034;10007;2;0;1
10035;10007;2;1;1
10036;10007;2;2;1
10037;10007;2;3;1
10038;10007;2;4;1
10039;10007;2;5;1
